File Path,Corner1,Power1,Corner2,Power2,Corner3,Power3
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_742_100/VexiiRiscv_742_100_build/rpt/placement.report_power,Fast,6.9141e+07,Slow,4.6953e+07,Typical,5.6928e+07
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_742_100/VexiiRiscv_742_100_build/rpt/chipfinish.report_power,Fast,1.4643e+06,Slow,6.9254e+05,Typical,9.8108e+05
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_742_100/VexiiRiscv_742_100_build/rpt/route.report_power,Fast,1.4640e+06,Slow,6.9241e+05,Typical,9.8087e+05
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_742_100/VexiiRiscv_742_100_build/rpt/floorplan.report_power,Fast,6.9117e+07,Slow,4.6043e+07,Typical,5.6908e+07
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_482_100/VexiiRiscv_482_100_build/rpt/cts.report_power,Fast,2.0473e+06,Slow,7.8098e+05,Typical,1.3549e+06
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_482_100/VexiiRiscv_482_100_build/rpt/placement.report_power,Fast,1.7593e+06,Slow,1.1908e+06,Typical,9.3826e+05
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_482_100/VexiiRiscv_482_100_build/rpt/chipfinish.report_power,Fast,2.3847e+06,Slow,8.8843e+05,Typical,1.5657e+06
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_482_100/VexiiRiscv_482_100_build/rpt/route.report_power,Fast,2.3841e+06,Slow,8.8823e+05,Typical,1.5653e+06
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_482_100/VexiiRiscv_482_100_build/rpt/floorplan.report_power,Fast,1.6937e+07,Slow,1.0862e+06,Typical,5.1511e+06
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_207_100/VexiiRiscv_207_100_build/rpt/cts.report_power,Fast,5.5511e+05,Slow,3.0553e+05,Typical,3.9903e+05
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_207_100/VexiiRiscv_207_100_build/rpt/placement.report_power,Fast,6.8421e+07,Slow,4.6557e+07,Typical,5.6499e+07
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_207_100/VexiiRiscv_207_100_build/rpt/chipfinish.report_power,Fast,5.5900e+05,Slow,3.0895e+05,Typical,4.0363e+05
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_207_100/VexiiRiscv_207_100_build/rpt/route.report_power,Fast,5.5889e+05,Slow,3.0890e+05,Typical,4.0355e+05
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_207_100/VexiiRiscv_207_100_build/rpt/floorplan.report_power,Fast,6.8413e+07,Slow,4.5782e+07,Typical,5.6491e+07
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_85_100/VexiiRiscv_85_100_build/rpt/cts.report_power,Fast,1.0657e+06,Slow,5.7090e+05,Typical,7.5756e+05
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_85_100/VexiiRiscv_85_100_build/rpt/placement.report_power,Fast,6.8917e+07,Slow,4.6809e+07,Typical,5.6801e+07
